Gene,log2FC_disease,log2FC_treated,log2FC_treated_vs_WT,padj_disease,padj_treated,rescue_metric,rescue_status_fixed,GeneSymbol
ENSMUSG00000003352,0.766295272,0.001344114,0.767639386,0.000498361,1,-0.175404179,Worsened,Cacnb3
ENSMUSG00000003355,2.428465901,-0.021414189,2.407051712,5.05876931583122e-17,1,0.881799026,Not rescued,Fkbp11
ENSMUSG00000003410,3.126560786,-0.74197688,2.384583905,0.008477566,1,23.73140748,Not rescued,Elavl3
ENSMUSG00000003452,0.923559777,0.451921182,1.375480959,0.001543338,1,-48.93253184,Worsened,Bicd1
ENSMUSG00000003484,0.868940328,-0.075911317,0.793029011,0.017330796,1,8.736079457,Not rescued,Cyp4f18
ENSMUSG00000003500,0.649143366,-0.061151839,0.587991527,3.69051747412988e-09,1,9.420390413,Not rescued,Impdh1
ENSMUSG00000003526,-0.679720788,0.116673701,-0.563047088,0.002236499,1,17.16494517,Not rescued,Prodh
ENSMUSG00000003528,0.868937284,-0.363182205,0.505755079,0.004653017,1,41.79613555,Partially rescued,Slc25a1
ENSMUSG00000003762,0.959121448,-0.223887544,0.735233904,8.06755573354776e-08,1,23.34298167,Not rescued,Coq8b
ENSMUSG00000003779,0.775435289,-0.153906854,0.621528435,0.031156578,1,19.84780115,Not rescued,Kif20a
ENSMUSG00000003812,0.814586077,-0.116010587,0.69857549,5.79903532332472e-10,1,14.2416609,Not rescued,Dnase2a
ENSMUSG00000003814,1.127507515,-0.201134201,0.926373314,8.64389756848283e-73,0.647605656,17.83883459,Not rescued,Calr
ENSMUSG00000003948,-0.9823651,0.228604974,-0.753760126,4.59216665169802e-09,1,23.27087703,Not rescued,Mmd
ENSMUSG00000003949,-1.562566255,0.491905765,-1.07066049,4.74347098206012e-07,1,31.4806341,Partially rescued,Hlf
ENSMUSG00000004035,0.761169272,-0.226345087,0.534824185,0.01292991,1,29.73649818,Not rescued,Gstm7
ENSMUSG00000004207,-0.541777292,0.027818975,-0.513958317,1.25034348839554e-17,1,5.134762142,Not rescued,Psap
ENSMUSG00000004266,0.737181055,-0.045226522,0.691954533,0.029817733,1,6.135063002,Not rescued,Ptpn6
ENSMUSG00000004267,1.149431141,-0.107616372,1.041814769,0.000469438,1,9.362576652,Not rescued,Eno2
