"","log2FoldChange","padj","GeneSymbol","significance"
"ENSMUSG00000002058",-0.104176880803433,0.941420296386963,"Unc119","non-significant"
"ENSMUSG00000002059",-0.0737210160647213,0.962588041582949,"Rab34","non-significant"
"ENSMUSG00000002064",-0.0516957945841486,0.940153800652369,"Sdf2","non-significant"
"ENSMUSG00000002068",-0.108065369295253,0.957760129479797,"Ccne1","non-significant"
"ENSMUSG00000002076",-0.470271109348813,0.773970883899788,"Hsf2bp","non-significant"
"ENSMUSG00000002083",0.231240496419736,0.883547675070155,"Bbc3","non-significant"
"ENSMUSG00000002102",0.0216886964481556,0.964705465023297,"Psmc3","non-significant"
"ENSMUSG00000002103",0.0244530371338657,0.973750509809548,"Acp2","non-significant"
"ENSMUSG00000002104",-0.0856447757372727,0.842375925473959,"Rapsn","non-significant"
"ENSMUSG00000002105",-0.164318246815475,0.417273507202521,"Slc39a13","non-significant"
"ENSMUSG00000002107",0.0480238940207647,0.948891477801568,"Celf2","non-significant"
"ENSMUSG00000002108",0.0184152912878381,0.989074759783954,"Nr1h3","non-significant"
"ENSMUSG00000002109",-0.0464089470473323,0.972721340184633,"Ddb2","non-significant"
"ENSMUSG00000002111",-0.23269403602945,0.862395032139814,"Spi1","non-significant"
"ENSMUSG00000002129",0.0214111921642484,0.976190870894722,"Sf3a1","non-significant"
"ENSMUSG00000002147",-0.055796546687259,0.934280712897618,"Stat6","non-significant"
"ENSMUSG00000002204",-0.795396047362947,0.471982706799577,"Napsa","non-significant"
"ENSMUSG00000002205",-0.000968875880461481,0.997460325812506,"Vrk3","non-significant"
"ENSMUSG00000002210",-0.12491883314673,0.642972210016387,"Smg9","non-significant"
"ENSMUSG00000002221",-0.0248835902503844,0.9763157568839,"Paxip1","non-significant"
"ENSMUSG00000002222",0.0902668138442906,0.810616432034457,"Rmnd5a","non-significant"
"ENSMUSG00000002227",0.14255002287672,0.904574864794041,"Mov10","non-significant"
"ENSMUSG00000002228",-0.0840172179831197,0.892041714235281,"Ppm1j","non-significant"
"ENSMUSG00000002233",-0.253498937450207,0.413848482254896,"Rhoc","non-significant"
"ENSMUSG00000002249",-0.146026540811875,0.659196093513576,"Tead3","non-significant"
"ENSMUSG00000002250",-0.144653452226436,0.799204493207736,"Ppard","non-significant"
"ENSMUSG00000002257",-0.114270756091511,0.947958658595639,"Def6","non-significant"
"ENSMUSG00000002265",0.120766500107707,0.977430930012133,"Peg3","non-significant"
"ENSMUSG00000002266",0.238315727356716,0.800748279733781,"Zim1","non-significant"
"ENSMUSG00000002274",-0.0405152683733484,0.964389961119476,"Metrn","non-significant"
"ENSMUSG00000002279",-0.0730432315264634,0.872438306818569,"Lmf1","non-significant"
"ENSMUSG00000002280",0.0195643158859214,0.977430930012133,"Ciao3","non-significant"
"ENSMUSG00000002289",1.22499630463716,0.649634001730734,"Angptl4","non-significant"
"ENSMUSG00000002297",-0.419957506546259,0.62299039335228,"Dbf4","non-significant"
"ENSMUSG00000002307",-0.0603314011460359,0.879631859972901,"Daxx","non-significant"
"ENSMUSG00000002308",-0.0841213173523582,0.89365231604907,"Cd320","non-significant"
